90142,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c90142.py,https://github.com/pytorch/pytorch/issues/90142,1.14.0,"['1.14.0', '1.1']","['Conv', 'conv', 'size']",torch.nn.Conv1d,s
89903,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c89903.py,https://github.com/pytorch/pytorch/issues/89903,1.12.0,"['1.1', '1.12.0', '0.12.0', '11.2']","['negative', 'real', 'pow']",torch.pow,v
89817,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c89817.py,https://github.com/pytorch/pytorch/issues/89817,1.13.0,"['1.13.0', '1.8', '0.10.3', '1.1', '11.7']","['float', 'prod']",torch.Tensor.float,s
89757,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c89757.py,https://github.com/pytorch/pytorch/issues/89757,None,['0.0'],"['gradient', 'pow']",torch.pow,/
89714,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c89714.py,https://github.com/pytorch/pytorch/issues/89714,1.13.0,"['1.13.0', '1.1', '0.13.0', '0.14.0']","['one_hot', 'ne_']",torch.nn.functional.one_hot,s
89648,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c89648.py,https://github.com/pytorch/pytorch/issues/89648,1.14.0,"['1.14.0', '1.1', '11.6', '0.13.1']","['fractional_max_pool', 'max_pool', 'frac']",torch.nn.functional.fractional_max_pool3d,s
89034,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c89034.py,https://github.com/pytorch/pytorch/issues/89034,None,None,"['numpy', 'Conv', 'conv']",torch.Tensor.numpy,v
88942,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c88942.py,https://github.com/pytorch/pytorch/issues/88942,1.14.0,"['1.14.0', '1.1']","['svd_lowrank', 'ger', 'svd']",torch.svd_lowrank,s
88941,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c88941.py,https://github.com/pytorch/pytorch/issues/88941,1.14.0,"['1.14.0', '1.1']","['lstsq', 'ger']",torch.lstsq,s
88939,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c88939.py,https://github.com/pytorch/pytorch/issues/88939,1.14.0,"['1.14.0', '1.1']","['interpolate', 'addr', 'erf']",torch.nn.functional.interpolate,s
88890,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c88890.py,https://github.com/pytorch/pytorch/issues/88890,1.13.0,"['1.13.0', '0.0', '1.5.1', '1.1', '11.7', '0.13.0', '0.14.0']","['triangular_solve', 'transpose', 'solve']",torch.triangular_solve,v
88684,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c88684.py,https://github.com/pytorch/pytorch/issues/88684,1.13.0,"['1.7', '1.13.0', '0.10.0', '1.1', '0.13.0']","['le_', 'save', 'tan']",torch.save,s
88658,/home/zxy/main/DL_compiler_test/1_test_code/Frame_test_TMP/cases/total/c88658.py,https://github.com/pytorch/pytorch/issues/88658,1.13.0,"['1.13.0', '1.12.3', '1.1', '0.13.0', '0.14.0']","['Linear', 'any', 'cat']",torch.nn.Linear,s
