similar_function,path
/src/ATen/core/interned_strings-Symbol::toUnqualString,/src/ATen/core/interned_strings-Symbol::toQualString,/src/ATen/core/interned_strings-Symbol::ns,/,/,/,/,/,/,/,/,/,/,/,/
/src/ATen/core/Tensor-TensorBase::variable_data,/src/ATen/core/Tensor-TensorBase::tensor_data,/src/ATen/core/Tensor-TensorBase::is_leaf,/src/ATen/core/Tensor-TensorBase::output_nr,/src/ATen/core/Tensor-TensorBase::data,/src/ATen/core/Tensor-TensorBase::_version,/src/ATen/core/Tensor-TensorBase::retain_grad,/src/ATen/core/Tensor-TensorBase::retains_grad,/src/ATen/core/Tensor-TensorBase::is_view,/src/ATen/core/Tensor-TensorBase::_base,/src/ATen/core/Tensor-TensorBase::name,/src/ATen/core/Tensor-TensorBase::grad_fn,/,/,/
/src/ATen/core/type-ListType::ofInts,/src/ATen/core/type-ListType::ofComplexDoubles,/src/ATen/core/type-ListType::ofFloats,/src/ATen/core/type-ListType::ofBools,/src/ATen/core/type-ListType::ofStrings,/src/ATen/core/union_type-ListType::ofOptionalTensors,/src/ATen/core/tensor_type-ListType::ofTensors,/,/,/,/,/,/,/,/
/src/ATen/core/boxing/KernelFunction_test-boxed_func_with_return,/src/ATen/core/boxing/KernelFunction_test-boxed_func_without_return,/,/,/,/,/,/,/,/,/,/,/,/,/
/src/ATen/core/boxing/KernelFunction_test-boxed_func_for_inplace_op,/src/ATen/core/boxing/KernelFunction_test-boxed_func_for_outofplace_op,/,/,/,/,/,/,/,/,/,/,/,/,/
/src/ATen/core/boxing/KernelFunction_test-expectBoxedCallingWithReturnWorks,/src/ATen/core/boxing/KernelFunction_test-expectBoxedCallingWithoutReturnWorks,/src/ATen/core/boxing/KernelFunction_test-expectBoxedCallingWithMultiReturnWorks,/src/ATen/core/boxing/KernelFunction_test-expectInPlaceBoxedCallingWorks,/src/ATen/core/boxing/KernelFunction_test-expectOutOfPlaceBoxedCallingWorks,/src/ATen/core/boxing/KernelFunction_test-expectOutOfPlaceMultiBoxedCallingWorks,/,/,/,/,/,/,/,/,/
/src/ATen/core/boxing/KernelFunction_test-expectUnboxedCallingWithReturnWorks,/src/ATen/core/boxing/KernelFunction_test-expectUnboxedCallingWithoutReturnWorks,/src/ATen/core/boxing/KernelFunction_test-expectUnboxedCallingWithMultiReturnWorks,/,/,/,/,/,/,/,/,/,/,/,/
/src/ATen/core/boxing/KernelFunction_test-expectInPlaceUnboxedCallingWorks,/src/ATen/core/boxing/KernelFunction_test-expectOutOfPlaceUnboxedCallingWorks,/,/,/,/,/,/,/,/,/,/,/,/,/
/src/ATen/core/boxing/impl/make_boxed_from_unboxed_functor_test-expectCallsIncrement,/src/ATen/core/boxing/impl/make_boxed_from_unboxed_functor_test-expectCallsDecrement,/src/ATen/core/boxing/impl/kernel_lambda_test-expectCallsIncrement,/src/ATen/core/boxing/impl/kernel_lambda_test-expectCallsDecrement,/src/ATen/core/boxing/impl/kernel_function_test-expectCallsIncrement,/src/ATen/core/boxing/impl/kernel_function_test-expectCallsDecrement,/src/ATen/core/boxing/impl/kernel_function_legacy_test-expectCallsIncrement,/src/ATen/core/boxing/impl/kernel_function_legacy_test-expectCallsDecrement,/src/ATen/core/boxing/impl/kernel_stackbased_test-expectCallsDecrement,/,/,/,/,/,/
/src/ATen/core/boxing/impl/make_boxed_from_unboxed_functor_test-operator3,/src/ATen/core/boxing/impl/make_boxed_from_unboxed_functor_test-operator27,/,/,/,/,/,/,/,/,/,/,/,/,/
