70675,./cases/total/c70675.py,https://github.com/pytorch/pytorch/issues/70675,1.10.1,['1.10.1'],"['index_select', 'select', 'empty']",torch.index_select,v
70674,./cases/total/c70674.py,https://github.com/pytorch/pytorch/issues/70674,1.10.1,['1.10.1'],"['empty', 'amax', 'rand']",torch.amax,s
70664,./cases/total/c70664.py,https://github.com/pytorch/pytorch/issues/70664,1.8.1,['1.8.1'],"['rfft2', 'fft2', 'rfft']",torch.fft.rfft2,s
70523,./cases/total/c70523.py,https://github.com/pytorch/pytorch/issues/70523,1.10.0,"['0.11.0', '0.2.0', '1.1', '1.10.0', '11.3']","['Conv', 'conv']",torch.nn.Conv2d,s
70486,./cases/total/c70486.py,https://github.com/pytorch/pytorch/issues/70486,1.10.1,['1.10.1'],"['addcmul', 'addcdiv', 'add']",torch.addcmul,s
70182,./cases/total/c70182.py,https://github.com/pytorch/pytorch/issues/70182,1.9.0,['1.9.0'],"['Conv', 'conv', 'ger']",torch.all,s
69801,./cases/total/c69801.py,https://github.com/pytorch/pytorch/issues/69801,1.10.0,['1.1'],"['Dropout', 'dropout']",torch.nn.Dropout2d,v
69786,./cases/total/c69786.py,https://github.com/pytorch/pytorch/issues/69786,None,None,['equal'],torch.equal,s
69518,./cases/total/c69518.py,https://github.com/pytorch/pytorch/issues/69518,1.10.0,None,"['addmm', 'add', 'empty']",torch.addmm,s
69432,./cases/total/c69432.py,https://github.com/pytorch/pytorch/issues/69432,1.10.0,None,"['movedim', 'ger', 'dim']",torch.movedim,s
69270,./cases/total/c69270.py,https://github.com/pytorch/pytorch/issues/69270,1.10.0,None,"['split', 'hsplit']",torch.hsplit,s
68727,./cases/total/c68727.py,https://github.com/pytorch/pytorch/issues/68727,1.10.0,None,"['MaxUnpool', 'cuda', 'max']",torch.nn.MaxUnpool2d,s
66402,./cases/total/c66402.py,https://github.com/pytorch/pytorch/issues/66402,None,['5.0'],"['isfinite', 'cpu']",torch.isfinite,v
65599,./cases/total/c65599.py,https://github.com/pytorch/pytorch/issues/65599,1.9.0,['1.9.0'],"['gradient', 'norm', 'sub']",torch.linalg.matrix_norm,v
63152,./cases/total/c63152.py,https://github.com/pytorch/pytorch/issues/63152,1.9.0,"['0.10.0', '1.5.3', '11.1', '0.9.0', '0.2.0', '1.5.1', '1.1', '1.9.0']","['rfft', 'fft', 'cuda']",torch.fft.rfft,v
61656,./cases/total/c61656.py,https://github.com/pytorch/pytorch/issues/61656,1.9.0,"['0.4.1', '1.3', '0.10.0', '10.2', '1.9.0']","['median', 'empty', 'prod']",torch.median,s
61251,./cases/total/c61251.py,https://github.com/pytorch/pytorch/issues/61251,1.9.0,['1.9.0'],['eig'],torch.linalg.eig,s
60075,./cases/total/c60075.py,https://github.com/pytorch/pytorch/issues/60075,1.8.1,None,"['Conv', 'conv', 'add']",torch.nn.Conv2d,s
73622,./cases/total/c73622.py,https://github.com/pytorch/pytorch/issues/73622,1.10.1,"['0.4.0', '0.10.1', '1.10.1', '1.1', '10.2', '0.11.2']","['size', 'cuda', 'det']",torch.det,v
66072,./cases/total/c66072.py,https://github.com/pytorch/pytorch/issues/66072,1.9.1,"['1.9.1', '1.9.0']","['cholesky_solve', 'cholesky', 'solve']",torch.cholesky_solve,s
72129,./cases/total/c72129.py,https://github.com/pytorch/pytorch/issues/72129,1.10.2,"['0.10.2', '1.10.2', '1.1', '0.11.3', '11.3']","['Parameter', 'save']",torch.save,s
